"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Login Feature","0","0","User logs in successfully","0"
"0","","1","Transfer Feature","0","0","User transfers funds successfully","0"
